 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter   146 lrate =  1.0000000000 LL =  -2.4839568906 nd =  0.0009180325, D =   0.69055E-02  0.69055E-02  (  1.59 s,   0.8 h)
 iter   147 lrate =  1.0000000000 LL =  -2.4839057103 nd =  0.0009262558, D =   0.69170E-02  0.69170E-02  (  1.58 s,   0.8 h)
 iter   148 lrate =  1.0000000000 LL =  -2.4838534365 nd =  0.0009216677, D =   0.69193E-02  0.69193E-02  (  1.74 s,   0.9 h)
 iter   149 lrate =  1.0000000000 LL =  -2.4838012816 nd =  0.0009037917, D =   0.69130E-02  0.69130E-02  (  2.21 s,   1.1 h)
 iter   150 lrate =  1.0000000000 LL =  -2.4837508257 nd =  0.0008715110, D =   0.68948E-02  0.68948E-02  (  2.80 s,   1.4 h)
 iter   151 lrate =  1.0000000000 LL =  -2.4837033259 nd =  0.0008305682, D =   0.68655E-02  0.68655E-02  (  1.59 s,   0.8 h)
 iter   152 lrate =  1.0000000000 LL =  -2.4836596813 nd =  0.0007806972, D =   0.68313E-02  0.68313E-02  (  1.56 s,   0.8 h)
 iter   153 lrate =  1.0000000000 LL =  -2.4836205668 nd =  0.0007255541, D =   0.67918E-02  0.67918E-02  (  1.59 s,   0.8 h)
 iter   154 lrate =  1.0000000000 LL =  -2.4835861621 nd =  0.0006698279, D =   0.67504E-02  0.67504E-02  (  1.54 s,   0.8 h)
 iter   155 lrate =  1.0000000000 LL =  -2.4835561927 nd =  0.0006125682, D =   0.67093E-02  0.67093E-02  (  1.59 s,   0.8 h)
 iter   156 lrate =  1.0000000000 LL =  -2.4835305073 nd =  0.0005576402, D =   0.66719E-02  0.66719E-02  (  1.64 s,   0.8 h)
 iter   157 lrate =  1.0000000000 LL =  -2.4835085421 nd =  0.0005069807, D =   0.66389E-02  0.66389E-02  (  1.67 s,   0.9 h)
 iter   158 lrate =  1.0000000000 LL =  -2.4834897239 nd =  0.0004629185, D =   0.66109E-02  0.66109E-02  (  1.83 s,   0.9 h)
 iter   159 lrate =  1.0000000000 LL =  -2.4834733321 nd =  0.0004235386, D =   0.65884E-02  0.65884E-02  (  1.87 s,   1.0 h)
 iter   160 lrate =  1.0000000000 LL =  -2.4834590244 nd =  0.0003903908, D =   0.65707E-02  0.65707E-02  (  1.82 s,   0.9 h)
 iter   161 lrate =  1.0000000000 LL =  -2.4834462595 nd =  0.0003627454, D =   0.65566E-02  0.65566E-02  (  3.86 s,   2.0 h)
 iter   162 lrate =  1.0000000000 LL =  -2.4834347737 nd =  0.0003378360, D =   0.65460E-02  0.65460E-02  (  1.89 s,   1.0 h)
